chrom	left_start	left_end	right_start	right_end
C_auris_panel	4498	4520	4624	4644
C_auris_panel	4571	4596	4704	4726
C_auris_panel	4661	4679	4784	4804
C_auris_panel	4740	4767	4866	4886
C_auris_panel	4830	4847	4939	4961
C_auris_panel	5130	5163	5252	5280
C_auris_panel	5222	5248	5328	5361
C_auris_panel	5295	5327	5409	5433
C_auris_panel	5370	5391	5503	5526
C_auris_panel	5449	5477	5576	5599
C_auris_panel	5528	5552	5650	5680
C_auris_panel	5624	5646	5736	5762
C_auris_panel	5695	5721	5814	5842
C_auris_panel	5784	5807	5903	5925
C_auris_panel	5861	5888	5980	6003
C_auris_panel	5934	5958	6047	6080
C_auris_panel	6017	6044	6136	6157
C_auris_panel	6262	6287	6369	6389
C_auris_panel	6335	6355	6449	6469
C_auris_panel	6414	6435	6539	6562
C_auris_panel	6504	6526	6608	6627
C_auris_panel	6573	6597	6688	6713
C_auris_panel	6668	6688	6780	6804
C_auris_panel	6741	6764	6856	6880
C_auris_panel	6819	6838	6928	6947
C_auris_panel	6890	6913	7009	7044
C_auris_panel	6984	7005	7087	7113
C_auris_panel	7051	7079	7175	7198
C_auris_panel	7143	7165	7248	7272
C_auris_panel	7376	7395	7493	7516
C_auris_panel	7462	7479	7567	7594
C_auris_panel	7534	7559	7652	7680
C_auris_panel	7611	7635	7741	7764
C_auris_panel	7708	7727	7821	7840
C_auris_panel	7768	7796	7888	7910
C_auris_panel	7861	7883	7983	8002
C_auris_panel	7930	7950	8051	8071
C_auris_panel	8017	8039	8133	8157
C_auris_panel	8093	8112	8217	8240
C_auris_panel	8186	8203	8292	8312
C_auris_panel	8264	8285	8368	8392
C_auris_panel	8335	8357	8450	8475
C_auris_panel	8423	8447	8529	8554
C_auris_panel	8495	8513	8610	8631
C_auris_panel	8582	8604	8702	8724
C_auris_panel	8669	8686	8775	8801
C_auris_panel	8742	8762	8868	8887
C_auris_panel	8822	8844	8930	8955
C_auris_panel	8895	8914	9025	9047
C_auris_panel	8986	9007	9097	9122
C_auris_panel	9051	9068	9177	9195
C_auris_panel	9150	9167	9249	9275
C_auris_panel	9222	9247	9341	9363
C_auris_panel	9289	9317	9407	9432
C_auris_panel	9377	9398	9501	9521
C_auris_panel	9608	9638	9737	9767
C_auris_panel	9689	9707	9816	9841
C_auris_panel	9774	9806	9904	9926
C_auris_panel	9868	9887	9967	9985
C_auris_panel	9946	9964	10065	10086
C_auris_panel	10024	10045	10133	10155
C_auris_panel	10103	10126	10228	10247
C_auris_panel	10169	10191	10287	10305
C_auris_panel	10267	10288	10383	10406
C_auris_panel	10334	10360	10459	10480
C_auris_panel	10408	10431	10528	10557
C_auris_panel	10488	10514	10609	10638
C_auris_panel	10575	10599	10697	10718
C_auris_panel	10656	10673	10772	10789
C_auris_panel	10746	10767	10849	10867
C_auris_panel	10811	10838	10941	10966
C_auris_panel	10893	10917	11019	11047
C_auris_panel	10977	10997	11101	11126
C_auris_panel	11061	11081	11182	11201
C_auris_panel	11227	11248	11342	11363
C_auris_panel	11293	11315	11415	11438
C_auris_panel	11384	11408	11490	11525
C_auris_panel	11456	11484	11569	11587
C_auris_panel	11535	11561	11656	11678
C_auris_panel	11615	11632	11727	11744
C_auris_panel	11693	11711	11815	11839
C_auris_panel	11792	11807	11900	11922
C_auris_panel	11855	11877	11982	12003
C_auris_panel	11929	11951	12063	12082
C_auris_panel	12028	12045	12139	12162
C_auris_panel	12105	12126	12208	12231
C_auris_panel	12184	12208	12303	12323
C_auris_panel	12266	12287	12381	12406
C_auris_panel	12330	12354	12447	12475
C_auris_panel	12418	12442	12532	12551
C_auris_panel	12494	12517	12617	12639
C_auris_panel	12569	12587	12696	12718
C_auris_panel	12651	12677	12768	12787
C_auris_panel	12736	12764	12847	12869
C_auris_panel	12821	12838	12939	12958
C_auris_panel	13065	13087	13168	13197
C_auris_panel	13129	13165	13257	13285
C_auris_panel	13209	13244	13342	13365
C_auris_panel	13303	13326	13425	13447
C_auris_panel	13380	13403	13487	13518
C_auris_panel	13459	13486	13587	13607
C_auris_panel	13536	13561	13660	13680
C_auris_panel	13617	13639	13738	13762
C_auris_panel	13688	13710	13811	13836
C_auris_panel	13780	13808	13888	13912
C_auris_panel	13862	13887	13981	14002
C_auris_panel	13934	13958	14048	14074
C_auris_panel	14008	14028	14146	14165
C_auris_panel	14093	14121	14207	14231
C_auris_panel	14176	14202	14297	14321
C_auris_panel	14265	14283	14370	14391
C_auris_panel	14328	14353	14454	14481
C_auris_panel	14413	14438	14534	14559
C_auris_panel	14496	14517	14625	14647
C_auris_panel	14576	14599	14693	14720
C_auris_panel	14664	14686	14767	14792
C_auris_panel	14745	14768	14858	14878
C_auris_panel	14819	14844	14947	14967
C_auris_panel	14893	14918	15010	15040
C_auris_panel	14972	14998	15089	15119
C_auris_panel	15057	15082	15173	15204
C_auris_panel	15132	15162	15268	15287
C_auris_panel	15208	15231	15331	15351
C_auris_panel	15302	15328	15409	15428
C_auris_panel	15380	15400	15491	15516
C_auris_panel	15448	15473	15579	15605
C_auris_panel	15534	15558	15654	15681
C_auris_panel	15610	15639	15729	15747
C_auris_panel	15696	15719	15807	15830
C_auris_panel	15783	15802	15901	15923
C_auris_panel	15855	15877	15969	15989
C_auris_panel	15942	15967	16048	16070
C_auris_panel	16024	16048	16139	16166
C_auris_panel	16094	16114	16216	16237
C_auris_panel	16182	16204	16300	16324
C_auris_panel	16269	16288	16373	16397
C_auris_panel	16329	16358	16447	16474
C_auris_panel	16412	16434	16541	16565
C_auris_panel	16490	16514	16608	16629
C_auris_panel	16570	16593	16707	16727
C_auris_panel	16657	16675	16767	16792
C_auris_panel	16732	16758	16847	16877
C_auris_panel	16809	16839	16927	16949
C_auris_panel	16903	16924	17024	17045
C_auris_panel	16975	17003	17102	17124
C_auris_panel	17060	17083	17168	17189
C_auris_panel	17143	17168	17260	17285
C_auris_panel	17221	17247	17338	17359
C_auris_panel	17292	17322	17423	17443
C_auris_panel	17386	17407	17498	17524
C_auris_panel	17452	17471	17570	17591
C_auris_panel	17536	17567	17655	17680
C_auris_panel	17609	17635	17741	17763
C_auris_panel	17699	17726	17813	17840
C_auris_panel	17774	17795	17895	17916
C_auris_panel	17867	17888	17982	18006
C_auris_panel	17940	17968	18048	18070
C_auris_panel	18020	18040	18133	18153
C_auris_panel	18106	18128	18216	18237
C_auris_panel	18168	18188	18290	18312
C_auris_panel	18269	18288	18377	18406
C_auris_panel	18329	18354	18465	18483
C_auris_panel	18416	18443	18549	18567
C_auris_panel	18500	18523	18628	18645
C_auris_panel	18581	18606	18706	18727
C_auris_panel	18649	18670	18767	18788
C_auris_panel	18750	18768	18854	18871
C_auris_panel	18827	18848	18927	18946
C_auris_panel	18898	18927	19024	19044
C_auris_panel	18979	19003	19087	19112
C_auris_panel	19052	19074	19180	19203
C_auris_panel	19288	19310	19412	19429
C_auris_panel	19369	19389	19493	19517
C_auris_panel	19459	19479	19580	19601
C_auris_panel	19534	19555	19650	19672
C_auris_panel	19630	19648	19744	19767
C_auris_panel	19702	19727	19810	19834
C_auris_panel	19783	19808	19899	19919
C_auris_panel	19852	19873	19978	20005
C_auris_panel	19937	19958	20047	20068
C_auris_panel	20024	20046	20128	20151
C_auris_panel	20102	20128	20213	20234
C_auris_panel	20179	20200	20289	20311
C_auris_panel	20260	20284	20381	20406
C_auris_panel	20340	20364	20452	20476
C_auris_panel	20423	20446	20530	20552
C_auris_panel	20501	20528	20607	20627
C_auris_panel	20577	20603	20688	20715
C_auris_panel	20659	20683	20785	20806
C_auris_panel	20741	20765	20854	20875
C_auris_panel	20808	20828	20940	20962
C_auris_panel	20889	20909	21011	21035
C_auris_panel	20985	21007	21087	21112
C_auris_panel	21057	21078	21184	21205
C_auris_panel	21130	21154	21248	21266
C_auris_panel	21222	21239	21340	21366
C_auris_panel	21305	21328	21416	21442
C_auris_panel	21384	21406	21499	21523
C_auris_panel	21457	21479	21577	21596
C_auris_panel	21551	21568	21647	21683
C_auris_panel	21608	21629	21743	21765
C_auris_panel	21694	21724	21821	21847
C_auris_panel	21783	21807	21906	21926
C_auris_panel	22015	22038	22130	22160
C_auris_panel	22092	22119	22216	22247
C_auris_panel	22180	22196	22288	22314
C_auris_panel	22262	22287	22376	22400
C_auris_panel	22342	22368	22449	22471
C_auris_panel	22417	22443	22544	22564
C_auris_panel	22493	22518	22616	22638
C_auris_panel	22574	22594	22697	22720
C_auris_panel	22660	22688	22775	22806
C_auris_panel	22728	22752	22847	22875
C_auris_panel	22819	22844	22931	22952
C_auris_panel	22889	22916	23024	23047
C_auris_panel	22976	22999	23106	23125
C_auris_panel	23056	23080	23167	23191
C_auris_panel	23139	23166	23247	23267
C_auris_panel	23218	23245	23327	23355
C_auris_panel	23290	23318	23407	23428
C_auris_panel	23385	23408	23496	23515
C_auris_panel	23625	23646	23728	23751
C_auris_panel	23689	23714	23826	23844
C_auris_panel	23768	23788	23889	23910
C_auris_panel	23859	23877	23976	23997
C_auris_panel	23931	23955	24056	24078
C_auris_panel	24025	24048	24135	24164
C_auris_panel	24105	24125	24209	24231
C_auris_panel	24182	24201	24301	24324
C_auris_panel	24252	24275	24382	24401
C_auris_panel	24333	24357	24451	24475
C_auris_panel	24428	24447	24543	24561
C_auris_panel	24492	24518	24610	24634
C_auris_panel	24571	24590	24701	24726
C_auris_panel	24670	24688	24767	24793
C_auris_panel	24729	24751	24853	24881
C_auris_panel	24813	24836	24935	24956
C_auris_panel	24892	24922	25007	25026
C_auris_panel	24973	24997	25106	25124
C_auris_panel	25062	25088	25173	25194
C_auris_panel	25138	25158	25265	25285
C_auris_panel	25217	25236	25341	25362
C_auris_panel	25307	25328	25424	25445
C_auris_panel	25389	25408	25497	25518
C_auris_panel	25466	25485	25572	25591
C_auris_panel	25531	25550	25665	25686
C_auris_panel	25609	25634	25740	25760
C_auris_panel	25693	25713	25824	25846
C_auris_panel	25778	25807	25891	25915
C_auris_panel	25851	25872	25973	26001
C_auris_panel	26105	26124	26212	26233
C_auris_panel	26186	26208	26290	26313
C_auris_panel	26251	26273	26373	26402
C_auris_panel	26328	26357	26447	26471
C_auris_panel	26424	26443	26538	26559
C_auris_panel	26491	26517	26613	26634
C_auris_panel	26568	26594	26690	26714
C_auris_panel	26648	26669	26772	26795
C_auris_panel	26738	26760	26850	26870
C_auris_panel	26821	26847	26934	26956
C_auris_panel	26891	26915	27017	27043
C_auris_panel	26986	27006	27088	27118
C_auris_panel	27058	27078	27170	27192
C_auris_panel	27146	27168	27264	27281
C_auris_panel	27228	27248	27337	27359
C_auris_panel	27304	27326	27428	27447
C_auris_panel	27379	27408	27490	27519
C_auris_panel	27448	27475	27578	27606
C_auris_panel	27528	27553	27660	27685
C_auris_panel	27621	27648	27730	27757
C_auris_panel	27703	27725	27807	27836
C_auris_panel	27771	27799	27887	27917
C_auris_panel	27859	27888	27972	28001
C_auris_panel	27934	27959	28064	28085
C_auris_panel	28009	28029	28127	28155
C_auris_panel	28091	28116	28215	28245
C_auris_panel	28179	28208	28299	28322
C_auris_panel	28270	28288	28372	28400
C_auris_panel	28340	28364	28447	28473
C_auris_panel	28419	28442	28541	28567
C_auris_panel	28488	28516	28618	28639
C_auris_panel	28573	28605	28700	28722
C_auris_panel	28657	28687	28771	28800
C_auris_panel	28747	28763	28848	28878
C_auris_panel	28813	28845	28928	28956
C_auris_panel	28900	28924	29016	29047
C_auris_panel	28970	28996	29089	29113
C_auris_panel	29048	29071	29171	29193
C_auris_panel	29137	29162	29263	29278
C_auris_panel	29217	29245	29332	29361
C_auris_panel	29290	29314	29407	29426
C_auris_panel	29534	29559	29655	29677
C_auris_panel	29621	29645	29749	29765
C_auris_panel	29695	29717	29809	29836
C_auris_panel	29776	29799	29907	29927
C_auris_panel	29868	29888	29967	29985
C_auris_panel	29944	29964	30053	30079
C_auris_panel	30025	30043	30136	30159
C_auris_panel	30090	30109	30221	30244
C_auris_panel	30183	30208	30301	30320
C_auris_panel	30254	30281	30375	30396
C_auris_panel	30336	30368	30451	30472
C_auris_panel	30408	30428	30531	30553
C_auris_panel	30496	30519	30607	30629
C_auris_panel	30568	30587	30700	30723
C_auris_panel	30665	30688	30775	30801
C_auris_panel	30728	30750	30856	30877
C_auris_panel	30819	30842	30939	30963
C_auris_panel	30895	30915	31028	31045
C_auris_panel	30985	31001	31087	31104
C_auris_panel	31060	31082	31173	31203
C_auris_panel	31134	31154	31256	31280
C_auris_panel	31217	31245	31344	31365
C_auris_panel	31290	31319	31420	31445
C_auris_panel	31372	31393	31487	31503
C_auris_panel	31460	31485	31567	31592
C_auris_panel	31531	31554	31654	31679
C_auris_panel	31615	31642	31728	31761
C_auris_panel	31698	31717	31808	31840
C_auris_panel	31784	31807	31901	31927
C_auris_panel	31848	31881	31968	31993
C_auris_panel	31942	31966	32064	32087
C_auris_panel	32021	32043	32129	32150
C_auris_panel	32088	32113	32216	32240
C_auris_panel	32182	32206	32296	32326
C_auris_panel	32260	32286	32386	32406
C_auris_panel	32331	32367	32454	32476
C_auris_panel	32410	32433	32537	32567
C_auris_panel	32492	32512	32607	32625
C_auris_panel	32654	32676	32777	32805
C_auris_panel	32738	32765	32853	32883
C_auris_panel	32816	32839	32928	32949
C_auris_panel	32897	32928	33007	33025
C_auris_panel	32973	32999	33101	33117
C_auris_panel	33073	33088	33172	33196
C_auris_panel	33140	33159	33255	33275
C_auris_panel	33210	33242	33332	33358
C_auris_panel	33299	33325	33417	33439
C_auris_panel	33370	33395	33487	33514
C_auris_panel	33457	33476	33577	33599
C_auris_panel	33550	33567	33657	33685
C_auris_panel	33614	33636	33733	33754
C_auris_panel	33698	33724	33811	33829
C_auris_panel	33776	33803	33907	33927
C_auris_panel	33865	33884	33978	33998
C_auris_panel	33928	33955	34062	34087
C_auris_panel	34018	34048	34145	34164
C_auris_panel	34094	34111	34211	34233
C_auris_panel	34179	34199	34287	34311
C_auris_panel	34255	34276	34377	34404
C_auris_panel	34349	34365	34453	34474
C_auris_panel	34411	34431	34539	34561
C_auris_panel	34490	34514	34608	34632
C_auris_panel	34580	34606	34691	34723
C_auris_panel	34658	34680	34776	34797
C_auris_panel	34733	34758	34849	34873
