chrom	left_start	left_end	right_start	right_end
combined	11293	11315	11415	11438
combined	11384	11408	11490	11525
combined	11456	11484	11569	11587
combined	11535	11561	11656	11678
combined	11615	11632	11727	11744
combined	11693	11711	11815	11839
combined	11792	11807	11900	11922
combined	11855	11877	11982	12003
combined	11929	11951	12063	12082
combined	12028	12045	12139	12162
combined	12105	12126	12208	12231
combined	12184	12208	12303	12323
combined	12266	12287	12381	12406
combined	12330	12354	12447	12475
combined	12418	12442	12532	12551
combined	12494	12517	12617	12639
combined	12569	12587	12696	12718
combined	12651	12677	12768	12787
combined	12736	12764	12847	12869
combined	12821	12838	12939	12958
combined	13065	13087	13168	13197
combined	13129	13165	13257	13285
combined	13209	13244	13342	13365
combined	13303	13326	13425	13447
combined	13380	13403	13487	13518
combined	13459	13486	13587	13607
combined	13536	13561	13660	13680
combined	13617	13639	13738	13762
combined	13688	13710	13811	13836
combined	13780	13808	13888	13912
combined	13862	13887	13981	14002
combined	13934	13958	14048	14074
combined	14008	14028	14146	14165
combined	14093	14121	14207	14231
combined	14176	14202	14297	14321
combined	14265	14283	14370	14391
combined	14328	14353	14454	14481
combined	14413	14438	14534	14559
combined	14496	14517	14625	14647
combined	14576	14599	14693	14720
combined	14664	14686	14767	14792
combined	14745	14768	14858	14878
combined	14819	14844	14947	14967
combined	14893	14918	15010	15040
combined	14972	14998	15089	15119
combined	15057	15082	15173	15204
combined	15132	15162	15268	15287
combined	15208	15231	15331	15351
combined	15302	15328	15409	15428
combined	15380	15400	15491	15516
combined	15448	15473	15579	15605
combined	15534	15558	15654	15681
combined	15610	15639	15729	15747
combined	15696	15719	15807	15830
combined	15783	15802	15901	15923
combined	15855	15877	15969	15989
combined	15942	15967	16048	16070
combined	16024	16048	16139	16166
combined	16094	16114	16216	16237
combined	16182	16204	16300	16324
combined	16269	16288	16373	16397
combined	16329	16358	16447	16474
combined	16412	16434	16541	16565
combined	16490	16514	16608	16629
combined	16570	16593	16707	16727
combined	16657	16675	16767	16792
combined	16732	16758	16847	16877
combined	16809	16839	16927	16949
combined	16903	16924	17024	17045
combined	16975	17003	17102	17124
combined	17060	17083	17168	17189
combined	17143	17168	17260	17285
combined	17221	17247	17338	17359
combined	17292	17322	17423	17443
combined	17386	17407	17498	17524
combined	17452	17471	17570	17591
combined	17536	17567	17655	17680
combined	17609	17635	17741	17763
combined	17699	17726	17813	17840
combined	17774	17795	17895	17916
combined	17867	17888	17982	18006
combined	17940	17968	18048	18070
combined	18020	18040	18133	18153
combined	18106	18128	18216	18237
combined	18168	18188	18290	18312
combined	18269	18288	18377	18406
combined	18329	18354	18465	18483
combined	18416	18443	18549	18567
combined	18500	18523	18628	18645
combined	18581	18606	18706	18727
combined	18649	18670	18767	18788
combined	18750	18768	18854	18871
combined	18827	18848	18927	18946
combined	18898	18927	19024	19044
combined	18979	19003	19087	19112
combined	19052	19074	19180	19203
combined	19288	19310	19412	19429
combined	19369	19389	19493	19517
combined	19459	19479	19580	19601
combined	19534	19555	19650	19672
combined	19630	19648	19744	19767
combined	19702	19727	19810	19834
combined	19783	19808	19899	19919
combined	19852	19873	19978	20005
combined	19937	19958	20047	20068
combined	20024	20046	20128	20151
combined	20102	20128	20213	20234
combined	20179	20200	20289	20311
combined	20260	20284	20381	20406
combined	20340	20364	20452	20476
combined	20423	20446	20530	20552
combined	20501	20528	20607	20627
combined	20577	20603	20688	20715
combined	20659	20683	20785	20806
combined	20741	20765	20854	20875
combined	20808	20828	20940	20962
combined	20889	20909	21011	21035
combined	20985	21007	21087	21112
combined	21057	21078	21184	21205
combined	21130	21154	21248	21266
combined	21222	21239	21340	21366
combined	21305	21328	21416	21442
combined	21384	21406	21499	21523
combined	21457	21479	21577	21596
combined	21551	21568	21647	21683
combined	21608	21629	21743	21765
combined	21694	21724	21821	21847
combined	21783	21807	21906	21926
combined	22015	22038	22130	22160
combined	22092	22119	22216	22247
combined	22180	22196	22288	22314
combined	22262	22287	22376	22400
combined	22342	22368	22449	22471
combined	22417	22443	22544	22564
combined	22493	22518	22616	22638
combined	22574	22594	22697	22720
combined	22660	22688	22775	22806
combined	22728	22752	22847	22875
combined	22819	22844	22931	22952
combined	22889	22916	23024	23047
combined	22976	22999	23106	23125
combined	23056	23080	23167	23191
combined	23139	23166	23247	23267
combined	23218	23245	23327	23355
combined	23290	23318	23407	23428
combined	23385	23408	23496	23515
combined	23625	23646	23728	23751
combined	23689	23714	23826	23844
combined	23768	23788	23889	23910
combined	23859	23877	23976	23997
combined	23931	23955	24056	24078
combined	24025	24048	24135	24164
combined	24105	24125	24209	24231
combined	24182	24201	24301	24324
combined	24252	24275	24382	24401
combined	24333	24357	24451	24475
combined	24428	24447	24543	24561
combined	24492	24518	24610	24634
combined	24571	24590	24701	24726
combined	24670	24688	24767	24793
combined	24729	24751	24853	24881
combined	24813	24836	24935	24956
combined	24892	24922	25007	25026
combined	24973	24997	25106	25124
combined	25062	25088	25173	25194
combined	25138	25158	25265	25285
combined	25217	25236	25341	25362
combined	25307	25328	25424	25445
combined	25389	25408	25497	25518
combined	25466	25485	25572	25591
combined	25531	25550	25665	25686
combined	25609	25634	25740	25760
combined	25693	25713	25824	25846
combined	25778	25807	25891	25915
combined	25851	25872	25973	26001
combined	26105	26124	26212	26233
combined	26186	26208	26290	26313
combined	26251	26273	26373	26402
combined	26328	26357	26447	26471
combined	26424	26443	26538	26559
combined	26491	26517	26613	26634
combined	26568	26594	26690	26714
combined	26648	26669	26772	26795
combined	26738	26760	26850	26870
combined	26821	26847	26934	26956
combined	26891	26915	27017	27043
combined	26986	27006	27088	27118
combined	27058	27078	27170	27192
combined	27146	27168	27264	27281
combined	27228	27248	27337	27359
combined	27304	27326	27428	27447
combined	27379	27408	27490	27519
combined	27448	27475	27578	27606
combined	27528	27553	27660	27685
combined	27621	27648	27730	27757
combined	27703	27725	27807	27836
combined	27771	27799	27887	27917
combined	27859	27888	27972	28001
combined	27934	27959	28064	28085
combined	28009	28029	28127	28155
combined	28091	28116	28215	28245
combined	28179	28208	28299	28322
combined	28270	28288	28372	28400
combined	28340	28364	28447	28473
combined	28419	28442	28541	28567
combined	28488	28516	28618	28639
combined	28573	28605	28700	28722
combined	28657	28687	28771	28800
combined	28747	28763	28848	28878
combined	28813	28845	28928	28956
combined	28900	28924	29016	29047
combined	28970	28996	29089	29113
combined	29048	29071	29171	29193
combined	29137	29162	29263	29278
combined	29217	29245	29332	29361
combined	29290	29314	29407	29426
combined	29534	29559	29655	29677
combined	29621	29645	29749	29765
combined	29695	29717	29809	29836
combined	29776	29799	29907	29927
combined	29868	29888	29967	29985
combined	29944	29964	30053	30079
combined	30025	30043	30136	30159
combined	30090	30109	30221	30244
combined	30183	30208	30301	30320
combined	30254	30281	30375	30396
combined	30336	30368	30451	30472
combined	30408	30428	30531	30553
combined	30496	30519	30607	30629
combined	30568	30587	30700	30723
combined	30665	30688	30775	30801
combined	30728	30750	30856	30877
combined	30819	30842	30939	30963
combined	30895	30915	31028	31045
combined	30985	31001	31087	31104
combined	31060	31082	31173	31203
combined	31134	31154	31256	31280
combined	31217	31245	31344	31365
combined	31290	31319	31420	31445
combined	31372	31393	31487	31503
combined	31460	31485	31567	31592
combined	31531	31554	31654	31679
combined	31615	31642	31728	31761
combined	31698	31717	31808	31840
combined	31784	31807	31901	31927
combined	31848	31881	31968	31993
combined	31942	31966	32064	32087
combined	32021	32043	32129	32150
combined	32088	32113	32216	32240
combined	32182	32206	32296	32326
combined	32260	32286	32386	32406
combined	32331	32367	32454	32476
combined	32410	32433	32537	32567
combined	32492	32512	32607	32625
combined	32654	32676	32777	32805
combined	32738	32765	32853	32883
combined	32816	32839	32928	32949
combined	32897	32928	33007	33025
combined	32973	32999	33101	33117
combined	33073	33088	33172	33196
combined	33140	33159	33255	33275
combined	33210	33242	33332	33358
combined	33299	33325	33417	33439
combined	33370	33395	33487	33514
combined	33457	33476	33577	33599
combined	33550	33567	33657	33685
combined	33614	33636	33733	33754
combined	33698	33724	33811	33829
combined	33776	33803	33907	33927
combined	33865	33884	33978	33998
combined	33928	33955	34062	34087
combined	34018	34048	34145	34164
combined	34094	34111	34211	34233
combined	34179	34199	34287	34311
combined	34255	34276	34377	34404
combined	34349	34365	34453	34474
combined	34411	34431	34539	34561
combined	34490	34514	34608	34632
combined	34580	34606	34691	34723
combined	34658	34680	34776	34797
combined	34733	34758	34849	34873
